Animal_ID,Protocol_Number,Rack,Tank,DOB,Cohort,Environmental_Condition,Sex,Lineage,Transgenic_Line,Experimental_Holds,Species,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet
SAL_001,AABF2564,Rack 4,C4,,Reptile Rapture - Yellow,Aquatic,Female,,WT,Breeding Female,Pleurodeles waltl,Metro treated 12/22/25-1/12/26,,,,
SAL_002,AABF2564,Rack 4,C4,,Reptile Rapture - Yellow,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,Metro treated 12/22/25-1/12/26,,,,
SAL_003,AABF2564,Rack 4,C4,,Reptile Rapture - Yellow,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,Metro treated 12/22/25-1/12/26,,,,
SAL_004,AABF2564,Rack 3,A1,1/21/20,Reptile Rapture - Yellow,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,,3D6.1546D5EE1,,,
SAL_005,AABF2564,Rack 3,A1,1/21/20,Reptile Rapture - Yellow,Aquatic,Male,,WT,Breeding Male,Pleurodeles waltl,,,,,
SAL_009,AABF2564,Rack 7,A4,6/2/20,Jungle Bobs,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_010,AABF2564,Rack 7,A4,6/2/20,Jungle Bobs,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_011,AABF2564,Rack 12,B4,7/5/20,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_012,AABF2564,Rack 12,B4,7/5/20,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_013,AABF2564,Rack 12,B4,7/5/20,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,,BF4,,,
SAL_015,AABL1550,Rack 7,C1,7/9/20,,Aquatic,Unknown,,WT,,Pleurodeles waltl,Flashtag,,,,
SAL_017,AABL1550,Rack 3,C4,7/5/20,,Aquatic,Male,,WT,,Pleurodeles waltl,,,,,
SAL_018,AABL1550,Rack 10,A1,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,,,4/28/22,,Gummy Schedule
SAL_019,AABL1550,Rack 10,A1,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,,,4/28/22,,Gummy Schedule
SAL_020,AABL1550,Rack 10,A1,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,,,4/28/22,,Gummy Schedule
SAL_021,AABL1550,Rack 10,A1,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,,,4/28/22,,Gummy Schedule
SAL_022,AABL1550,Rack 11,B4,9/24/20,Terra S,Terrestrial,Unknown,,WT,AMMM implant testing,Pleurodeles waltl,,,2/9/23,,Gummy Schedule
SAL_023,AABL1550,Rack 11,B4,9/24/20,Terra S,Terrestrial,Unknown,,WT,AMMM implant testing,Pleurodeles waltl,,,2/9/23,,Gummy Schedule
SAL_024,AABL1550,Rack 11,B4,9/24/20,Terra S,Terrestrial,Unknown,,WT,AMMM implant testing,Pleurodeles waltl,,,2/9/23,,Gummy Schedule
SAL_025,AABF2564,Rack 3,C1,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,Metro treated 12/22/25-1/12/26,ECD,,,
SAL_026,AABF2564,Rack 3,C1,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,Metro treated 12/22/25-1/12/26,ECB,,,
SAL_027,AABF2564,Rack 3,C1,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,Metro treated 12/22/25-1/12/26,BCA,,,
SAL_028,AABF2564,Rack 3,C1,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,Metro treated 12/22/25-1/12/26,BF5,,,
SAL_029,AABF2564,Rack 3,C1,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,Metro treated 12/22/25-1/12/26,BED,,,
SAL_035,AABF2564,Rack 2,B5,11/18/20 0:00,F0,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,genotyped +,,,,
SAL_036,AABL1550,Rack 3,B4,9/24/20 0:00,F0,Aquatic,Female,,hsyn-GCaMP6s,,Pleurodeles waltl,Previously known as Mother of All GCaMPs,,,,
SAL_037,AABL1550,Rack 3,B3,3/8/21 0:00,F0,Aquatic,Male,,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_038,AABF2564,Rack 13 - Off,A2,11/18/20 0:00,F0,Aquatic,Female,,hsyn-Cre,,Pleurodeles waltl,,,,,
SAL_039,AABL1550,Rack 2,B1,11/19/20 0:00,F0,Aquatic,Unknown,,hsyn-GCaMP6s,,Pleurodeles waltl,good signal,FP0404,,,
SAL_043,AABL1550,Rack 7,A3,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,Metro Treatment 1/16/26-2/6/26,,,,
SAL_045,AABL1550,Rack 7,A3,11/11/21 0:00,,Aquatic,Unknown,,WT,Missing as of 01/2026 - card gone,Pleurodeles waltl,Missing probably dead,,,,
SAL_047,AABF2564,Rack 2,D1,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AD EdU @ St 41,,,,
SAL_048,AABF2564,Rack 2,D1,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AD EdU @ St 41,,,,
SAL_049,AABF2564,Rack 2,D1,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AD EdU @ St 41,,,,
SAL_050,AABF2564,Rack 2,D1,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AD EdU @ St 41,,,,
SAL_051,AABF2564,Rack 2,D1,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AD EdU @ St 41,,,,
SAL_052,AABF2564,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AD EdU @ St 50,,,,
SAL_053,AABF2564,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AD EdU @ St 50,,,,
SAL_054,AABF2564,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AD EdU @ St 50,,,,
SAL_055,AABF2564,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AD EdU @ St 50,,,,
