DOB,DOD,Experimenter,Num_Larvae,Stage,Purpose,Protocol_Number,Complications
,01/07/2025,AOG,5,53,electroporation Foxp1 OE,AABI2617,
,01/17/2025,EG,4,46-50,HCR Fixation,AABF2564,
,01/21/2025,AOG,1,55a,HCR Perfusion,AABI2617,
,01/22/2025,EG,10,46,"Brain fixation, PxW cohort",AABF2564,
,01/30/2025,AMMM,10,55,"Brain fixation, PxW cohort",AABL1550,
,02/21/2025,EG,3,50,"Brain fixation, PxW cohort",AABF2564,
,02/21/2025,LDVA,5,46,"HCR fixation, PxW cohort",AABF2564,
,03/04/2025,EG,6,"50, 53","HCR fixation, PxW cohort",AABF2564,
,03/21/2025,AOG,3,55,"HCR fixation, PxW cohort, 3 dpi",AABI2617,
,03/25/2025,LDVA,1,36,"HCR fixation, PxW cohort",AABF2564,
,03/26/2025,EG,6,"50, 52","HCR fixation, PxW cohort",AABF2564,
,04/02/2025,"JW, LDVA",4,55a,"single nuclei isolation, PxW cohort",AABF2564,
,04/07/2025,AOG,4,55a,"3 dpi, PxW cohort",AABI2617,
,04/09/2025,AOG,8,55a,"5 and 7 dpi, PxW cohort",AABI2617,
,04/16/2025,LDVA,3,55,"ICC fixation, PxW cohort",AABF2564,
,04/23/2025,"LDVA, JW",4,55a,"Multiome, PxW cohort",AABF2564,
,04/25/2025,LDVA,6,38,"HCR fixation, PxW cohort",AABF2564,
,05/02/2025,"LDVA, JW",4,55a,"Multiome, PxW cohort",AABF2564,
,05/08/2025,AOG,5,55,"HCR, PxW cohort",AABI2617,
,05/15/2025,AOG,5,55,"HCR 10 dpi, PxW cohort",AABI2617,
,06/11/2025,AOG,1,55,"control --2 h Edu, PxW cohort",AABI2617,
11/20/2025,03/31/2026,LDVA,4,Post-metamorphic,HCR,AABI2617,
03/26/2026,05/15/2026,PA,12,50,Perfusion,AABF2564,
03/26/2026,05/19/2026,PA,7,50,Perfusion,AABF2564,
