Animal ID,Tank,Rack,DOB,Environmental Condition,Sex,Lineage,Transgenic Status,Experimental Holds,Species,Protocol Number,Experimental History
SAL_001,5,Rack 2,2022-02-07,Reaqua,,Sweden,GCamP6s,False,Pleurodeles waltl,AABL,Viral injection
SAL_002,2,Rack 3,2021-03-16,Reaqua,,YxO,GCamP6s,False,Ambystoma mexicanum,AABY,EdU
SAL_004,6,Rack 3,2020-04-08,Reaqua,,Sweden,GCamP6s,True,Ambystoma mexicanum,AABF,Viral injection
SAL_005,2,Rack 2,2022-01-30,Terrestrial,,YxO,Wildtype,True,Polypterus senegalus,AABY,Viral injection
SAL_006,3,Rack 2,2024-08-12,Aquatic,,Sweden,hsyn-GFP,True,Ambystoma mexicanum,AABY,Regeneration
SAL_007,5,Rack 3,2023-01-19,Reaqua,,Jungle Bobs,hsyn-GFP,True,Polypterus senegalus,AABF,EdU
SAL_008,6,Rack 3,2020-01-11,Reaqua,,YxO,hsyn-GFP,True,Polypterus senegalus,AABY,Behavior Conditioning
SAL_009,10,Rack 1,2022-12-06,Terrestrial,,Sweden,Wildtype,True,Polypterus senegalus,AABL,Viral injection
SAL_010,1,Rack 1,2023-05-24,Aquatic,,Jungle Bobs,GCamP6s,True,Polypterus senegalus,AABL,Behavior Conditioning
SAL_011,7,Rack 3,2020-09-23,Aquatic,,PxW,hsyn-GFP,False,Pleurodeles waltl,AABY,Viral injection
SAL_012,1,Rack 1,2020-06-07,Terrestrial,,YxO,hsyn-GFP,True,Ambystoma mexicanum,AABY,EdU
SAL_013,5,Rack 2,2020-07-16,Aquatic,,PxW,GCamP6s,False,Pleurodeles waltl,AABL,Regeneration
SAL_014,9,Rack 3,2024-01-28,Terrestrial,,Jungle Bobs,Wildtype,True,Polypterus senegalus,AABY,Behavior Conditioning
SAL_015,6,Rack 3,2020-08-01,Aquatic,,PxW,Wildtype,False,Polypterus senegalus,AABY,Behavior Conditioning
SAL_016,8,Rack 1,2020-11-10,Aquatic,,Jungle Bobs,hsyn-GFP,False,Pleurodeles waltl,AABL,EdU
SAL_017,3,Rack 2,2020-04-10,Terrestrial,,Sweden,Wildtype,False,Ambystoma mexicanum,AABF,EdU
SAL_018,6,Rack 1,2023-10-31,Terrestrial,,Jungle Bobs,Wildtype,False,Polypterus senegalus,AABI,Viral injection
SAL_019,4,Rack 1,2020-01-25,Reaqua,,Sweden,hsyn-GFP,False,Pleurodeles waltl,AABI,Viral injection
SAL_020,2,Rack 2,2022-09-27,Aquatic,,Jungle Bobs,Wildtype,True,Pleurodeles waltl,AABY,Regeneration
SAL_021,6,Rack 1,2024-01-31,Terrestrial,,Jungle Bobs,hsyn-GFP,True,Ambystoma mexicanum,AABL,Behavior Conditioning
SAL_022,8,Rack 1,2022-08-09,Terrestrial,,Jungle Bobs,hsyn-GFP,False,Ambystoma mexicanum,AABF,Behavior Conditioning
SAL_023,2,Rack 2,2020-07-22,Aquatic,,PxW,Wildtype,False,Pleurodeles waltl,AABI,Viral injection
SAL_024,1,Rack 2,2020-08-24,Terrestrial,,YxO,GCamP6s,True,Ambystoma mexicanum,AABY,Viral injection
SAL_025,1,Rack 1,2021-09-23,Terrestrial,,Sweden,GCamP6s,False,Ambystoma mexicanum,AABY,Behavior Conditioning
SAL_026,6,Rack 3,2022-11-15,Reaqua,,YxO,GCamP6s,True,Polypterus senegalus,AABI,Behavior Conditioning
