DOB,Parents,Room,Breeding_Condition,Fridging
10/25/24,,,Natural,
11/25/24,,,Natural,
12/10/24,,,Natural,
1/3/25,,Behavior,Natural,
1/3/25,,,Natural,
8/8/24,"SAL_192, SAL_193",Main Room,Natural,
2025-05-13,FAKE,Main Room,Natural,
2025-05-12,,Main Room,Natural,
02/12/2025,FAker,Main Room,Natural,
02/15/2022,FAke,Main Room,Natural,
05/12/2025,,Main Room,Natural,
05/12/2025,,Main Room,Natural,
05/12/2025,fak again,Main Room,Natural,
05/17/2022,fake clutch,Main Room,Natural,
05/17/2022,fake clutch,Main Room,Natural,
05/12/2025,,Main Room,Natural,
05/12/2025,,Main Room,Natural,
05/12/2025,,Main Room,Natural,
05/12/2025,,Main Room,Natural,
05/14/2025,,Main Room,Natural,
05/17/2025,,Main Room,Natural,
05/24/2025,,Main Room,Natural,
05/02/2016,,Main Room,Natural,
05/02/2016,,Main Room,Natural,
05/12/2025,,Main Room,Natural,
