Animal_ID,Experimenter,DOD,Tank,Rack,DOB,Cohort,Environmental_Condition,Lineage,Transgenic_Line,Experimental_Holds,Species,Protocol_Number,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet,Weight_g,Sex,Purpose,Complications
SAL_011,"AMMM, JW ",5/12/25,B4,Rack 12,7/5/20,,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Female,,
SAL_012,"AMMM, JW",5/12/25,B4,Rack 12,7/5/20,,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Female,,
SAL_014,ECJ,5/12/25,A4,Rack 12,7/9/20,,Aquatic,,WT,,Pleurodeles waltl,AABL1550,Craniotomy,,,,,0.0,Unknown,,
SAL_005,AOG,5/12/25,C4,Rack 12,1/21/20,Reptile Rapture - Yellow,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Male,,
SAL_006,AOG,5/12/25,C4,Rack 12,1/21/20,Reptile Rapture - Yellow,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Male,,
SAL_008,AOG,5/12/25,B4,Rack 12,1/21/20,Reptiles & Critters ,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Male,,
SAL_009,AOG,5/12/25,A1,Rack 4,6/2/20,Jungle Bobs,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Female,,
SAL_010,AOG,5/12/25,A5,Rack 12,6/2/20,Jungle Bobs,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Female,,
SAL_013,JW,5/12/25,B4,Rack 12,7/5/20,,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Female,,
SAL_015,,05/12/2025,A4,Rack 12,7/9/20,,Aquatic,,WT,,Pleurodeles waltl,AABL1550,Flashtag,,,,,0.0,Unknown,,
SAL_016,,05/12/2025,B1,Rack 12,7/5/20,,Aquatic,,WT,,Pleurodeles waltl,AABL1550,,,,,,0.0,Male,,
SAL_017,,05/12/2025,B1,Rack 12,7/5/20,,Aquatic,,WT,,Pleurodeles waltl,AABL1550,,,,,,0.0,Male,,
SAL_018,,05/12/2025,A1,Rack 10,9/20/20,Terra A,Terrestrial,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule,0.0,Unknown,,
SAL_019,,05/12/2025,A1,Rack 10,9/20/20,Terra A,Terrestrial,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule,0.0,Unknown,,
SAL_020,,05/12/2025,A1,Rack 10,9/20/20,Terra A,Terrestrial,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule,0.0,Unknown,,
SAL_021,,05/12/2025,A1,Rack 10,9/20/20,Terra A,Terrestrial,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule,0.0,Unknown,,
SAL_022,,05/12/2025,B4,Rack 11,9/24/20,Terra S,Terrestrial,,WT,AMMM implant testing,Pleurodeles waltl,AABL1550,,,2/9/23,,Gummy Schedule,0.0,Unknown,,
SAL_023,,05/12/2025,B4,Rack 11,9/24/20,Terra S,Terrestrial,,WT,AMMM implant testing,Pleurodeles waltl,AABL1550,,,2/9/23,,Gummy Schedule,0.0,Unknown,,
SAL_024,,05/12/2025,B4,Rack 11,9/24/20,Terra S,Terrestrial,,WT,AMMM implant testing,Pleurodeles waltl,AABL1550,,,2/9/23,,Gummy Schedule,0.0,Unknown,,
SAL_025,,05/12/2025,D4,Rack 12,11/30/20,,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Male,,
SAL_026,,05/12/2025,D4,Rack 12,11/30/20,,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Male,,
SAL_027,,05/12/2025,D4,Rack 12,11/30/20,,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Male,,
