Animal_ID,Tank,Rack,DOB,Cohort,Environmental_Condition,Sex,Lineage,Transgenic_Line,Experimental_Holds,Species,Protocol_Number,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet
SAL_001,C4,Rack 12,,Reptile Rapture - Yellow,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_002,C4,Rack 12,,Reptile Rapture - Yellow,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_003,C4,Rack 12,,Reptile Rapture - Yellow,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_004,C4,Rack 12,1/21/20,Reptile Rapture - Yellow,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_005,C4,Rack 12,1/21/20,Reptile Rapture - Yellow,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_006,C4,Rack 12,1/21/20,Reptile Rapture - Yellow,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_007,B4,Rack 12,1/21/20,Reptiles & Critters ,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_008,B4,Rack 12,1/21/20,Reptiles & Critters ,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_009,A5,Rack 12,6/2/20,Jungle Bobs,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_010,A5,Rack 12,6/2/20,Jungle Bobs,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_011,B4,Rack 12,7/5/20,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_012,B4,Rack 12,7/5/20,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_013,B4,Rack 12,7/5/20,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_014,A4,Rack 12,7/9/20,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Craniotomy,,,,
SAL_015,A4,Rack 12,7/9/20,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Flashtag,,,,
SAL_016,B1,Rack 12,7/5/20,,Aquatic,Male,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_017,B1,Rack 12,7/5/20,,Aquatic,Male,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_018,A1,Rack 10,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule
SAL_019,A1,Rack 10,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule
SAL_020,A1,Rack 10,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule
SAL_021,A1,Rack 10,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule
SAL_022,B4,Rack 11,9/24/20,Terra S,Terrestrial,Unknown,,WT,AMMM implant testing,Pleurodeles waltl,AABL1550,,,2/9/23,,Gummy Schedule
SAL_023,B4,Rack 11,9/24/20,Terra S,Terrestrial,Unknown,,WT,AMMM implant testing,Pleurodeles waltl,AABL1550,,,2/9/23,,Gummy Schedule
SAL_024,B4,Rack 11,9/24/20,Terra S,Terrestrial,Unknown,,WT,AMMM implant testing,Pleurodeles waltl,AABL1550,,,2/9/23,,Gummy Schedule
SAL_025,D4,Rack 12,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
